CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,Occupation,WebsiteVisits,Churn,LastPurchaseDate
86667,49,Female,Shenzhen,Bronze,25,1239.294277,Home Goods,Unemployed,13,1,2023/8/29
86533,21,Male,Guangzhou,Gold,95,13337.97728,Clothing,Student,21,0,2023/9/20
85972,24,Female,Hangzhou,Bronze,58,6727.295971,Clothing,Student,6,0,2023/9/7
86227,64,Male,Chongqing,Bronze,14,512.0736173,Electronics,Professional,12,0,2023/2/1
86346,23,Male,Chongqing,Bronze,14,469.499176,Electronics,Professional,24,1,2023/10/27
86645,32,Male,wuhan,Silver,13,669.6818228,Sports,Professional,7,0,2023/11/19
85701,65,Female,Beijing,Gold,79,22712.6232,Clothing,Professional,5,1,2023/11/12
85905,38,Female,wuhan,Bronze,19,1353.43747,Clothing,Professional,10,0,2023/7/16
85980,45,Male,Shenzhen,Bronze,9,450.6259765,Electronics,Professional,10,1,2023/7/16
86380,25,Female,Shenzhen,Gold,96,18004.02252,Clothing,Unemployed,14,0,2023/9/4
86170,42,Female,Shanghai,Silver,50,,Clothing,Self-Employed,8,0,2023/12/21
86232,36,Male,Hangzhou,Gold,17,1427.945958,Sports,Professional,12,1,2023/10/31
86458,28,Female,chengdu,Bronze,33,5027.674651,Home Goods,Self-Employed,10,0,2023/12/21
85913,20,Male,chengdu,Gold,37,2754.679614,Electronics,Student,5,1,2024/1/1
86252,23,Male,chengdu,Silver,14,536.5118715,Books,Self-Employed,7,1,2023/11/30
85729,32,Female,Chongqing,Silver,25,3124.93697,Home Goods,Unemployed,14,1,2023/10/27
86580,59,Male,chengdu,Bronze,18,645.7203647,Electronics,Professional,11,1,2023/11/13
85849,47,Female,Hangzhou,Silver,40,3802.799195,Electronics,Self-Employed,3,1,2023/11/5
85688,23,Female,Guangzhou,Gold,97,22822.97111,Books,Self-Employed,29,0,2023/10/31
85751,31,Female,Hangzhou,Gold,41,3561.185403,Home Goods,Professional,9,0,2023/10/15
85705,42,Female,wuhan,Silver,46,3842.970105,Books,Professional,6,0,2023/10/6
86155,59,Male,Hangzhou,Bronze,10,440.5730854,Clothing,Unemployed,7,1,2023/2/4
85984,39,Female,wuhan,Bronze,23,1854.609081,Sports,Unemployed,2,1,2023/9/2
85985,40,Female,Shenzhen,Silver,42,5119.761095,Home Goods,Self-Employed,9,0,2023/9/4
86557,18,Female,Guangzhou,Silver,87,35488.82562,Home Goods,Self-Employed,18,1,2023/8/27
86462,27,Male,chengdu,Silver,26,2751.173506,Electronics,Self-Employed,29,0,2023/7/2
85719,53,Male,Guangzhou,Silver,38,1680.120312,Electronics,Unemployed,4,0,2023/10/6
85777,45,Female,Shanghai,Platinum,93,17380.36794,Electronics,Self-Employed,9,1,2023/3/30
86434,26,Female,Shenzhen,Silver,52,7977.050775,Clothing,Self-Employed,16,0,2023/8/21
85675,23,Female,Guangzhou,Silver,138,45010.33019,Home Goods,Unemployed,14,1,2023/12/29
86497,30,Female,wuhan,Gold,52,10667.58568,Sports,Student,15,1,2023/2/1
86384,19,Female,Shenzhen,Silver,67,5678.886129,Clothing,Self-Employed,24,0,2023/8/19
86288,27,Male,Shanghai,Silver,60,8543.537162,Clothing,Self-Employed,5,0,2023/12/10
86464,29,Female,chengdu,Silver,59,7074.1352,Home Goods,Unemployed,6,0,2023/7/1
86082,34,Male,Beijing,Platinum,34,5346.223982,Clothing,Professional,9,0,2023/11/13
86410,64,Male,Beijing,Gold,43,5958.67141,Home Goods,Professional,10,0,2023/11/10
86631,65,Female,Beijing,Platinum,99,19138.67149,Home Goods,Professional,11,0,2023/1/26
86040,28,Male,Guangzhou,Platinum,117,25482.99388,Books,Self-Employed,15,1,2023/1/19
86592,42,Female,Guangzhou,Silver,92,10071.64249,Books,Self-Employed,9,1,2023/11/15
85941,18,Male,Guangzhou,Platinum,38,10978.82073,Home Goods,Professional,10,0,2023/10/22
85904,33,Male,Shenzhen,Gold,16,611.7487873,Clothing,Professional,6,0,2023/11/5
86670,32,Female,Chongqing,Bronze,27,1086.128177,Home Goods,Student,24,0,2023/1/8
86309,19,Male,Shenzhen,Gold,,2314.332537,Sports,Self-Employed,18,1,2023/12/12
86372,35,Female,Beijing,Silver,49,4257.327136,Electronics,Professional,13,1,2023/10/27
85925,24,Female,Chongqing,Bronze,49,7169.393434,Home Goods,Professional,25,1,2023/12/31
86457,50,Female,wuhan,Gold,39,4718.3708,Books,Self-Employed,3,1,2023/9/25
86493,34,Female,Shanghai,Gold,88,25735.14404,Clothing,Self-Employed,19,0,2023/9/12
85815,36,Female,Chongqing,Gold,58,,Clothing,Self-Employed,6,1,2023/12/16
85990,24,Female,Shanghai,Gold,165,44263.87153,Books,Professional,10,1,2023/12/12
86261,34,Male,Hangzhou,Gold,24,1948.546153,Sports,Professional,29,1,2023/3/24
86005,45,Male,Guangzhou,Silver,22,2277.528113,Home Goods,Unemployed,5,0,2023/11/12
85969,63,Female,Beijing,Platinum,113,34531.53857,Clothing,Self-Employed,6,1,2023/12/16
85936,31,Male,Guangzhou,Silver,16,1613.318443,Electronics,Unemployed,27,0,2023/12/4
86106,50,Male,Shenzhen,Silver,8,523.7768261,Electronics,Unemployed,7,1,2023/10/3
86536,27,Female,chengdu,Gold,59,6550.903546,Electronics,Student,18,1,2023/12/14
86256,61,Male,Guangzhou,Gold,21,3062.034307,Books,Student,3,0,2023/8/3
85946,31,Female,Guangzhou,Platinum,113,38251.85847,Sports,Unemployed,18,0,2023/9/10
85944,44,Female,Chongqing,Bronze,23,,Clothing,Self-Employed,11,1,2023/11/13
86661,31,Male,Shanghai,Silver,22,2761.447861,Home Goods,Student,11,1,2023/10/6
85993,49,Female,Hangzhou,Gold,52,6882.028586,Home Goods,Professional,7,1,2023/8/28
86243,34,Female,Beijing,Gold,66,20111.24585,Clothing,Student,26,1,2023/12/13
86317,22,Female,Guangzhou,Platinum,160,47008.52995,Home Goods,Unemployed,28,1,2023/7/26
